oyster,length,depth
w1,99,26
w2,128,55
w3,130,31
w4,82,17
w5,114,36
w6,91,17
w7,104,23
w8,105,11
w9,109,23
w10,81,19
w11,84,15
w12,93,14
w13,113,43
w14,111,20
w15,129,32
w16,153,30
w17,85,12
w18,95,16
w19,124,34
w20,90,25
wb1,82,21
wb2,88,22
wb3,80,11
wb4,80,28
wb5,80,25
wb6,81,23
wb7,81,22
wb8,87,21
wb9,92,20
wb10,88,10
wb11,87,24
wb12,81,27
wb13,77,18
wb14,77,12
wb15,83,23
wb16,75,18
wb17,88,26
wb18,86,26
wb19,89,24
wb20,77,9
k1,63,22
k2,64,20
k3,66,18
k4,65,19
k5,66,21
k6,72,15
k7,67,23
k8,63,20
k9,69,11
k10,65,18
k11,67,19
k12,67,16
k13,64,18
k14,68,16
k15,64,18
k16,63,19
k17,72,12
k18,71,12
k19,61,19
k20,56,20
