date,glass_id,num_cum_sys,total_zooids,attached_zooids,total_systems,attached_systems,oozooid_yield,retied?,ampul_pt_num,condition,terminated?,termination_just,comments
7/13/23,S004C001,4,NA,0,NA,0,1,y,0,4,n,none,subdivided colonies at pt of tunic degridation  two on slide instead of 1 now
7/13/23,S006C001,NA,NA,0,NA,0,6,n,2,6,n,none,"both cumulative systems have 1-2 ampullae beginning to glide out. If ampullate gliding out, celan gently with brush and tweezers but do not remove any dtrings. if you need to pin down more, just tie with more string on top of whats loose."
7/13/23,S008C001,1,NA,0,NA,0,0,y,0,4,n,none,"yes, ~70% tunic disentigrating, removed that part and retied"
7/13/23,S009C001,2,NA,0,NA,0,3,n,0,4,n,none,
7/13/23,S010C001,2,NA,0,NA,0,0,y,0,6,n,none,subdivided colonies at pt of tunic degridation  two on slide instead of 1 now
7/13/23,S011C001,1,NA,0,NA,0,0,y,0,7,n,none,
7/13/23,S016C001,2,NA,0,NA,0,0,n,2,6,n,none,pinned down further with string
7/13/23,S016C002,1,NA,0,NA,0,3,y,0,,n,none,
7/13/23,S017C001,1,NA,21,NA,3,0,n,5,7,n,none,
7/13/23,S018C001,4,NA,19,NA,2,0,y,2,6,n,none,
7/13/23,S018C002,3,NA,28,NA,2,0,y,2,6,n,none,
7/13/23,S022C001,1,NA,0,NA,0,15,n,0,6,n,none,oozoids to remain on same slide as parental
7/14/23,S002C001,1,NA,0,NA,1,21,y,1,5,n,none,
7/14/23,S005C001,3,NA,0,NA,0,13,y,0,4,n,none,
7/14/23,S010C001,1,NA,0,NA,0,0,n,0,0,y,zooids being reabsorbed,"when brushed, animal relesead larva. larva collected and placed in cell strainer. whole larva will be placed in media and left in incubator. monday animals will be attempted to be plated"
7/14/23,S015C001,3,NA,0,NA,0,3,y,0,3,n,none,"much of the colony degraded, split up and retained ~5% of the original colony"
7/14/23,S020C001,3,NA,0,NA,0,6,y,0,4,y,degrading and dying,su495 students (Jason) - moved to box C1
7/14/23,S021C001,1,NA,5,NA,1,0,n,2,6,n,none,
7/14/23,S024C001,1,NA,42,NA,1,0,n,6,7,y,degrading and dying,su495 student (Emily) using 7/17/23 onwards
7/14/23,S025C001,2,NA,0,NA,0,0,n,2,6,n,none,formerly 2 cumulative systems 1 degraded
7/14/23,S026C001,1,NA,0,NA,1,3,n,4,6,n,none,formerly 2 cumulative systems 1 degraded
7/16/23,S005C001,3,NA,0,NA,1,0,y,1,4,n,none,
