SECTION,ZONATION,BROWN_FL,RED_FL,GREEN_FL,ENCRUSTING_FL,OTHER_FL,BROWN_SL,RED_SL,GREEN_SL,ENCRUSTING_SL,OTHER_SL
1,L,3,1,2,0,0,0,0,0,1,0
1,L,2,0,2,0,0,0,0,0,1,0
1,L,2,0,0,0,0,0,0,0,2,0
1,L,2,1,1,0,0,0,0,0,2,0
1,L,5,1,2,0,0,0,0,0,2,0
1,L,4,0,1,0,0,0,0,0,1,0
1,L,1,1,1,0,0,0,0,0,2,0
1,L,4,1,1,0,0,0,0,0,1,0
1,L,3,0,1,0,0,0,0,0,2,0
1,L,3,0,2,0,0,0,0,0,1,0
1,M,1,0,1,0,0,0,0,0,1,0
1,M,2,0,1,0,0,0,0,0,1,0
1,M,3,0,2,0,0,0,0,0,1,0
1,M,2,0,2,0,0,0,0,0,1,0
1,M,1,0,2,0,0,0,0,0,0,0
1,M,1,0,2,0,0,0,0,0,1,0
1,M,2,0,2,0,0,0,0,0,2,0
1,M,2,0,1,0,0,0,0,0,1,0
1,U,0,0,1,1,0,0,0,0,1,0
1,U,0,0,1,1,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,1,0,1,1,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,0,0
1,U,0,0,0,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,0,0,1,0,0,0,0,0,0,0
1,M,1,0,2,0,0,0,0,0,0,0
1,M,1,0,1,0,0,0,0,0,0,0
1,M,0,0,1,0,0,0,0,0,0,0
1,M,2,0,2,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,2,0,1,0,0,0,0,0,0,0
1,L,2,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,1,0,0,0,0,0,0,0
1,L,0,0,2,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,L,1,0,1,0,0,0,0,0,0,0
1,U,1,0,1,0,0,0,0,0,0,0
1,U,1,0,0,0,0,0,0,0,1,0
2,L,2,0,2,0,0,0,0,0,1,0
2,L,2,0,2,0,0,0,0,0,0,0
2,M,0,0,1,0,0,0,0,0,1,0
2,M,1,0,2,0,0,0,0,0,1,0
2,M,1,0,1,0,1,0,0,0,1,0
2,M,1,0,2,0,0,0,0,1,0,0
2,M,1,0,1,0,1,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,M,1,0,1,0,0,0,0,0,0,0
2,L,2,0,2,0,0,0,0,0,0,0
2,L,1,0,2,0,0,0,0,0,0,0
2,L,0,0,2,0,1,0,0,0,0,0
2,L,1,0,1,0,0,0,0,0,0,0
2,L,1,0,2,0,0,0,0,0,0,0
2,L,1,0,1,0,0,0,0,0,0,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,0,2,0,0,0,0,0,1,0
2,M,0,1,1,0,0,0,0,0,0,0
2,M,1,0,2,0,0,0,0,0,1,0
2,M,2,0,1,0,0,0,0,0,0,0
2,M,0,0,1,1,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,1,0,1,0,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,1,0,1,1,0,0,0,0,0,0
2,U,0,0,1,1,0,0,0,0,0,0
2,U,0,0,0,0,0,0,0,0,0,0
2,U,1,0,1,1,1,0,0,0,0,0
2,U,1,0,0,1,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
2,U,1,0,0,0,0,0,0,0,0,0
