SECTION,ZONATION,BROWN,RED,GREEN,ENCRUSTING,OTHER
2,M,P,A,P,P,A
2,M,P,A,P,A,A
2,M,A,A,P,P,A
2,U,P,A,P,A,A
2,U,P,A,P,A,A
2,U,P,A,A,A,A
2,U,P,A,P,P,A
2,U,A,A,P,P,A
2,U,A,A,A,A,A
2,U,P,A,P,P,P
2,U,P,A,A,P,A
2,U,P,A,A,A,A
2,U,P,A,A,A,A
2,U,A,A,A,A,A
2,U,A,A,A,A,A
2,U,P,A,P,A,A
2,U,P,A,A,A,A
2,U,P,A,P,A,A
2,U,A,A,A,A,A
2,M,P,A,P,P,A
2,M,P,A,P,A,A
2,M,P,A,P,P,A
2,U,P,A,A,P,A
2,U,P,A,A,P,A
2,L,P,A,P,P,A
2,L,P,A,P,P,A
2,L,P,P,P,P,A
2,L,P,A,P,P,A
2,L,P,A,P,P,P
2,L,P,A,P,P,A
2,L,P,P,P,P,A
2,L,P,A,P,P,A
2,L,P,P,P,P,P
2,L,P,A,A,P,P
2,L,P,P,P,P,P
2,L,P,P,P,A,A
2,L,P,A,P,P,P
2,L,P,A,P,A,A
2,M,P,A,P,A,A
2,M,P,A,P,A,A
2,M,P,A,P,A,A
2,M,P,A,P,A,A
2,M,P,A,P,P,A
2,M,P,A,P,P,A
2,M,P,A,P,A,A
2,M,P,A,P,A,A
2,M,A,A,A,A,A
2,M,A,A,A,A,A
2,M,P,A,P,P,A
2,M,A,A,A,A,A
3,L,P,A,P,A,A
3,L,P,A,P,P,A
3,L,P,P,P,A,A
3,L,P,A,P,A,A
3,L,P,A,A,A,A
3,L,P,P,P,A,A
3,L,P,A,P,A,A
3,L,P,A,P,P,P
3,M,A,A,P,P,P
3,M,P,A,P,A,A
3,M,P,P,P,P,A
3,M,P,A,P,A,A
3,M,P,A,P,A,A
3,M,A,A,P,A,A
3,L,P,A,P,A,A
3,L,P,P,P,A,A
3,L,P,A,P,A,A
3,L,P,P,P,A,A
3,M,P,A,P,P,A
3,M,A,A,P,A,A
3,L,P,A,P,A,A
3,L,P,P,P,A,A
3,L,P,P,P,P,A
3,L,P,P,P,A,A
3,M,A,P,P,A,A
3,M,A,A,P,A,A
